Biochar,Concentration,Ce_mg_l,Qe_mg_g,Metal
OSR700,C1,0.031521606,0.399811595,Zn
OSR700,C1,0.027312564,0.403178829,Zn
OSR700,C1,0.027211415,0.403259748,Zn
MSP550,C1,0.051474418,0.383849346,Zn
MSP550,C1,0.036133723,0.396121902,Zn
MSP550,C1,0.027018966,0.403413707,Zn
OSR550,C1,0.021407042,0.407903246,Zn
OSR550,C1,0.021530519,0.407804465,Zn
OSR550,C1,0.023763296,0.406018243,Zn
SWP550,C1,0.523023907,0.006609754,Zn
SWP550,C1,0.52001019,0.009020728,Zn
SWP550,C1,0.53007929,0.000965448,Zn
SWP550AW,C1,0.51831882,0.010373824,Zn
SWP550AW,C1,0.49315143,0.030507736,Zn
SWP550AW,C1,0.52528887,0.004797784,Zn
WSP550,C1,0.021686401,0.407679759,Zn
WSP550,C1,0.022761713,0.40681951,Zn
WSP550,C1,0.051474418,0.383849346,Zn
OSR700,C2,0.028978206,0.784639243,Zn
OSR700,C2,0.028749626,0.784822107,Zn
OSR700,C2,0.030124808,0.783721962,Zn
MSP550,C2,0.064903289,0.755899177,Zn
MSP550,C2,0.037638102,0.777711326,Zn
MSP550,C2,0.047078702,0.770158846,Zn
OSR550,C2,0.0292424,0.784427888,Zn
OSR550,C2,0.023604375,0.788938308,Zn
OSR550,C2,0.026182455,0.786875844,Zn
SWP550,C2,1.00630269,0.002779656,Zn
SWP550,C2,0.89933348,0.088355024,Zn
SWP550,C2,0.98096257,0.023051752,Zn
SWP550AW,C2,0.94241739,0.053887896,Zn
SWP550AW,C2,1.01085706,-0.00086384,Zn
SWP550AW,C2,0.86870935,0.112854328,Zn
WSP550,C2,0.023481168,0.789036874,Zn
WSP550,C2,0.020327772,0.79155959,Zn
WSP550,C2,0.024543097,0.78818733,Zn
OSR700,C3,0.026785308,1.183767538,Zn
OSR700,C3,0.033260115,1.178587692,Zn
OSR700,C3,0.029772826,1.181377523,Zn
MSP550,C3,0.032223842,1.17941671,Zn
MSP550,C3,0.048651227,1.166274802,Zn
MSP550,C3,0.034918123,1.177261286,Zn
OSR550,C3,0.022005959,1.187591017,Zn
OSR550,C3,0.02295486,1.186831896,Zn
OSR550,C3,0.025255167,1.18499165,Zn
SWP550,C3,1.34937905,0.125692544,Zn
SWP550,C3,1.41649385,0.072000704,Zn
SWP550,C3,1.39210667,0.091510448,Zn
SWP550AW,C3,1.42722712,0.063414088,Zn
SWP550AW,C3,1.40010619,0.085110832,Zn
SWP550AW,C3,1.45810875,0.038708784,Zn
WSP550,C3,0.025037244,1.185165989,Zn
WSP550,C3,0.029860881,1.181307079,Zn
WSP550,C3,0.024490618,1.18560329,Zn
OSR700,C4,0.032117505,2.226619756,Zn
OSR700,C4,0.024504959,2.232709793,Zn
OSR700,C4,0.027741593,2.230120486,Zn
MSP550,C4,0.14992407,2.132374504,Zn
MSP550,C4,0.127646015,2.150196948,Zn
MSP550,C4,0.043486931,2.217524215,Zn
OSR550,C4,0.030428093,2.227971286,Zn
OSR550,C4,0.02667677,2.230972344,Zn
OSR550,C4,0.023786115,2.233284868,Zn
SWP550,C4,3.06369136,-0.198639328,Zn
SWP550,C4,3.04742011,-0.185622328,Zn
SWP550,C4,2.82892958,-0.010829904,Zn
SWP550AW,C4,2.91412386,-0.078985328,Zn
SWP550AW,C4,2.89311087,-0.062174936,Zn
SWP550AW,C4,2.69404816,0.097075232,Zn
WSP550,C4,0.026426239,2.231172769,Zn
WSP550,C4,0.025088725,2.23224278,Zn
WSP550,C4,0.026362985,2.231223372,Zn
OSR700,C5,0.033037172,3.906759366,Zn
OSR700,C5,0.037473528,3.903210282,Zn
OSR700,C5,0.031100174,3.908308965,Zn
MSP550,C5,2.12892045,2.230052744,Zn
MSP550,C5,1.96870091,2.358228376,Zn
MSP550,C5,1.41995943,2.79722156,Zn
OSR550,C5,0.065858207,3.880502538,Zn
OSR550,C5,0.051828903,3.891725982,Zn
OSR550,C5,0.03524998,3.90498912,Zn
SWP550,C5,4.608471375,0.246412004,Zn
SWP550,C5,4.636202525,0.224227084,Zn
SWP550,C5,4.540492325,0.300795244,Zn
SWP550AW,C5,4.5548977,0.289270944,Zn
SWP550AW,C5,4.835553825,0.064746044,Zn
SWP550AW,C5,5.066434025,-0.119958116,Zn
WSP550,C5,0.059467216,3.885615331,Zn
WSP550,C5,0.039369805,3.90169326,Zn
WSP550,C5,0.054133901,3.889881983,Zn
OSR700,C6,0.05985358,7.42071708,Zn
OSR700,C6,0.062138418,7.41888921,Zn
OSR700,C6,0.047495893,7.43060323,Zn
MSP550,C6,4.419841,3.932727144,Zn
MSP550,C6,4.41634135,3.935526864,Zn
MSP550,C6,4.454205925,3.905235204,Zn
OSR550,C6,0.263179341,7.258056471,Zn
OSR550,C6,0.189387372,7.317090046,Zn
OSR550,C6,0.251238446,7.267609187,Zn
SWP550,C6,9.8090644,-0.378651576,Zn
SWP550,C6,8.6613328,0.539533704,Zn
SWP550,C6,9.5811839,-0.196347176,Zn
SWP550AW,C6,9.2244822,0.089014184,Zn
SWP550AW,C6,9.3623955,-0.021316456,Zn
SWP550AW,C6,8.7557816,0.463974664,Zn
WSP550,C6,0.059467216,7.421026171,Zn
WSP550,C6,0.039369805,7.4371041,Zn
WSP550,C6,0.054133901,7.425292823,Zn
OSR700,C7,0.385625506,10.85856034,Zn
OSR700,C7,0.474819658,10.78720502,Zn
OSR700,C7,0.7505046,10.56665706,Zn
MSP550,C7,9.7147884,3.395230024,Zn
MSP550,C7,9.7851006,3.338980264,Zn
MSP550,C7,9.4102219,3.638883224,Zn
OSR550,C7,3.8119732,8.117482184,Zn
OSR550,C7,3.7560378,8.162230504,Zn
OSR550,C7,3.6329592,8.260693384,Zn
SWP550,C7,15.2903974,-1.065257176,Zn
SWP550,C7,14.0967475,-0.110337256,Zn
SWP550,C7,14.5434046,-0.467662936,Zn
SWP550AW,C7,14.1332741,-0.139558536,Zn
SWP550AW,C7,14.297647,-0.271056856,Zn
SWP550AW,C7,13.7009801,0.206276664,Zn
WSP550,C7,6.6983056,5.808416264,Zn
WSP550,C7,5.7246846,6.587313064,Zn
WSP550,C7,5.6454249,6.650720824,Zn
OSR700,C8,9.8,11.90096206,Zn
OSR700,C8,12.134,10.03376206,Zn
OSR700,C8,11.2,10.78096206,Zn
MSP550,C8,19.096273,4.463943656,Zn
MSP550,C8,22.2625128,1.930951816,Zn
MSP550,C8,21.8899142,2.229030696,Zn
OSR550,C8,14.0221237,8.523263096,Zn
OSR550,C8,13.526334,8.919894856,Zn
OSR550,C8,12.1673077,10.0071159,Zn
SWP550,C8,24.9408884,-0.211748664,Zn
SWP550,C8,23.8406142,0.668470696,Zn
SWP550,C8,23.9897977,0.549123896,Zn
SWP550AW,C8,23.8293941,0.677446776,Zn
SWP550AW,C8,24.1809041,0.396238776,Zn
SWP550AW,C8,23.8225157,0.682949496,Zn
WSP550,C8,17.0557636,6.096351176,Zn
WSP550,C8,16.5682945,6.486326456,Zn
WSP550,C8,16.666362,6.407872456,Zn
MSP550,C1,0.16119085,0.24799188,Cd
MSP550,C1,0.16635122,0.243863584,Cd
MSP550,C1,0.16378577,0.245915944,Cd
OSR550,C1,0.06080944,0.328297008,Cd
OSR550,C1,0.05339506,0.334228512,Cd
OSR550,C1,0.06457515,0.32528444,Cd
OSR700,C1,0.07939257,0.313430504,Cd
OSR700,C1,0.06613368,0.324037616,Cd
OSR700,C1,0.08725799,0.307138168,Cd
SWP550,C1,0.45493366,0.012997632,Cd
SWP550,C1,0.4233307,0.03828,Cd
SWP550,C1,0.48316732,-0.009589296,Cd
SWP550AW,C1,0.4682071,0.00237888,Cd
SWP550AW,C1,0.4458192,0.0202892,Cd
SWP550AW,C1,0.4227683,0.03872992,Cd
WSP550,C1,0.07058792,0.320474224,Cd
WSP550,C1,0.07343326,0.318197952,Cd
WSP550,C1,0.08940873,0.305417576,Cd
MSP550,C2,0.3529492,0.68005904,Cd
MSP550,C2,0.35174562,0.681021904,Cd
MSP550,C2,0.37615528,0.661494176,Cd
OSR550,C2,0.15223726,0.840628592,Cd
OSR550,C2,0.18121658,0.817445136,Cd
OSR550,C2,0.15767798,0.836276016,Cd
OSR700,C2,0.13682308,0.852959936,Cd
OSR700,C2,0.18072646,0.817837232,Cd
OSR700,C2,0.1957327,0.80583224,Cd
SWP550,C2,1.3922332,-0.15136816,Cd
SWP550,C2,1.3509585,-0.1183484,Cd
SWP550,C2,1.3354915,-0.1059748,Cd
SWP550AW,C2,1.3539264,-0.12072272,Cd
SWP550AW,C2,1.1854133,0.01408776,Cd
SWP550AW,C2,1.1658221,0.02976072,Cd
WSP550,C2,0.17858764,0.819548288,Cd
WSP550,C2,0.1886252,0.81151824,Cd
WSP550,C2,0.22260762,0.784332304,Cd
MSP550,C3,0.79996976,1.409300992,Cd
MSP550,C3,0.7754336,1.42892992,Cd
MSP550,C3,0.8547523,1.36547496,Cd
OSR550,C3,0.37783902,1.747005584,Cd
OSR550,C3,0.49705226,1.651634992,Cd
OSR550,C3,0.47258014,1.671212688,Cd
OSR700,C3,0.234098,1.8619984,Cd
OSR700,C3,0.257098,1.8435984,Cd
OSR700,C3,0.266879,1.8357736,Cd
SWP550,C3,2.2245663,0.26962376,Cd
SWP550,C3,2.3612224,0.16029888,Cd
SWP550,C3,2.5352134,0.02110608,Cd
SWP550AW,C3,2.843451,-0.225484,Cd
SWP550AW,C3,2.6055965,-0.0352004,Cd
SWP550AW,C3,2.6218373,-0.04819304,Cd
WSP550,C3,0.3433282,1.77461424,Cd
WSP550,C3,0.34841204,1.770547168,Cd
WSP550,C3,0.3569784,1.76369408,Cd
MSP550,C4,3.9360886,3.59515472,Cd
MSP550,C4,3.86155865,3.65477868,Cd
MSP550,C4,3.9232394,3.60543408,Cd
OSR550,C4,0.57943525,6.2804774,Cd
OSR550,C4,0.6109062,6.25530064,Cd
OSR550,C4,0.6996177,6.18433144,Cd
OSR700,C4,0.27898,6.5208416,Cd
OSR700,C4,0.297098,6.5063472,Cd
OSR700,C4,0.285097,6.515948,Cd
SWP550,C4,8.8113255,-0.3050348,Cd
SWP550,C4,9.3319475,-0.7215324,Cd
SWP550,C4,8.0941865,0.2686764,Cd
SWP550AW,C4,8.2094945,0.17643,Cd
SWP550AW,C4,9.3338875,-0.7230844,Cd
SWP550AW,C4,7.794581,0.5083608,Cd
WSP550,C4,0.7651805,6.1318812,Cd
WSP550,C4,1.374454,5.6444624,Cd
WSP550,C4,1.321168,5.6870912,Cd
MSP550,C5,5.1212025,5.65171,Cd
MSP550,C5,4.9097904,5.82083968,Cd
MSP550,C5,3.2431467,7.15415464,Cd
OSR550,C5,0.721097,9.1717944,Cd
OSR550,C5,0.74598,9.151888,Cd
OSR550,C5,0.780098,9.1245936,Cd
OSR700,C5,0.310869,9.4999768,Cd
OSR700,C5,0.333987,9.4814824,Cd
OSR700,C5,0.345854,9.4719888,Cd
SWP550,C5,12.381255,-0.156332,Cd
SWP550,C5,13.501912,-1.0528576,Cd
SWP550,C5,12.032569,0.1226168,Cd
SWP550AW,C5,12.8299745,-0.5153076,Cd
SWP550AW,C5,12.117012,0.0550624,Cd
SWP550AW,C5,13.662866,-1.1816208,Cd
WSP550,C5,1.592192,8.4749184,Cd
WSP550,C5,1.65321,8.426104,Cd
WSP550,C5,1.587101,8.4789912,Cd
MSP550,C6,9.3106132,7.54834944,Cd
MSP550,C6,8.8655579,7.90439368,Cd
MSP550,C6,8.7743071,7.97739432,Cd
OSR550,C6,0.56397,14.545664,Cd
OSR550,C6,0.6907865,14.4442108,Cd
OSR550,C6,1.2673878,13.98292976,Cd
OSR700,C6,0.387764,14.6866288,Cd
OSR700,C6,0.374341,14.6973672,Cd
OSR700,C6,0.398797,14.6778024,Cd
SWP550,C6,20.990628,-1.7956624,Cd
SWP550,C6,18.200692,0.4362864,Cd
SWP550,C6,23.344766,-3.6789728,Cd
SWP550AW,C6,21.196804,-1.9606032,Cd
SWP550AW,C6,19.706423,-0.7682984,Cd
SWP550AW,C6,21.417485,-2.137148,Cd
WSP550,C6,1.773204,13.5782768,Cd
WSP550,C6,1.569302,13.7413984,Cd
WSP550,C6,2.0813723,13.33174216,Cd
MSP550,C7,15.056032,8.3470064,Cd
MSP550,C7,15.45643,8.026688,Cd
MSP550,C7,14.980323,8.4075736,Cd
OSR550,C7,1.4384984,19.24103328,Cd
OSR550,C7,2.0453796,18.75552832,Cd
OSR550,C7,1.704931,19.0278872,Cd
OSR700,C7,0.5695794,19.93616848,Cd
OSR700,C7,0.4854926,20.00343792,Cd
OSR700,C7,0.6084682,19.90505744,Cd
SWP550,C7,26.507992,-0.8145616,Cd
SWP550,C7,26.933725,-1.155148,Cd
SWP550,C7,25.432703,0.0456696,Cd
SWP550AW,C7,23.286703,1.7624696,Cd
SWP550AW,C7,26.517329,-0.8220312,Cd
SWP550AW,C7,24.385883,0.8831256,Cd
WSP550,C7,2.0729136,18.73350112,Cd
WSP550,C7,2.099824,18.7119728,Cd
WSP550,C7,2.85012,18.111736,Cd
MSP550,C8,21.56705,7.597608,Cd
MSP550,C8,23.46867,6.076312,Cd
MSP550,C8,23.65398,5.928064,Cd
OSR550,C8,6.21103,19.882424,Cd
OSR550,C8,8.68612,17.902352,Cd
OSR550,C8,7.21011,19.08316,Cd
OSR700,C8,8.32111,18.19436,Cd
OSR700,C8,4.10201,21.56964,Cd
OSR700,C8,4.52034,21.234976,Cd
SWP550,C8,31.97323,-0.727336,Cd
SWP550,C8,32.98134,-1.533824,Cd
SWP550,C8,31.814322,-0.6002096,Cd
SWP550AW,C8,32.87112,-1.445648,Cd
SWP550AW,C8,31.65465,-0.472472,Cd
SWP550AW,C8,33.07958,-1.612416,Cd
WSP550,C8,10.34587,16.574552,Cd
WSP550,C8,9.67813,17.108744,Cd
WSP550,C8,6.53965,19.619528,Cd
MSP550,C1,0.02015524,0.25132396,Pb
MSP550,C1,0.01851721,0.252634384,Pb
MSP550,C1,0.02088762,0.250738056,Pb
OSR550,C1,0.01172182,0.258070696,Pb
OSR550,C1,0.01091633,0.258715088,Pb
OSR550,C1,0.01147892,0.258265016,Pb
OSR700,C1,0.01009351,0.259373344,Pb
OSR700,C1,0.02446306,0.247877704,Pb
OSR700,C1,0.0146985,0.255689352,Pb
SWP550,C1,0.204389,0.103936952,Pb
SWP550,C1,0.20144747,0.106290176,Pb
SWP550,C1,0.21811275,0.092957952,Pb
WSP550,C1,0.01293548,0.257099768,Pb
WSP550,C1,0.02205702,0.249802536,Pb
WSP550,C1,0.01315269,0.256926,Pb
MSP550,C2,0.01983072,1.311960325,Pb
MSP550,C2,0.02651928,1.311514421,Pb
MSP550,C2,0.0298014,1.311295613,Pb
OSR550,C2,0.03203016,1.311147029,Pb
OSR550,C2,0.03444612,1.310985965,Pb
OSR550,C2,0.03996948,1.310617741,Pb
OSR700,C2,0.01854708,1.312045901,Pb
OSR700,C2,0.01719864,1.312135797,Pb
OSR700,C2,0.04037794,1.280980021,Pb
SWP550,C2,0.0970197,1.235666613,Pb
SWP550,C2,0.1125107,1.223273813,Pb
SWP550,C2,0.1069565,1.227717173,Pb
WSP550,C2,0.0155364,1.312246613,Pb
WSP550,C2,0.01514196,1.312272909,Pb
WSP550,C2,0.01823328,1.312066821,Pb
MSP550,C3,0.00980752,1.746340571,Pb
MSP550,C3,0.01013234,1.746080715,Pb
MSP550,C3,0.01383637,1.743117491,Pb
OSR550,C3,0.03226106,1.728377739,Pb
OSR550,C3,0.02228534,1.736358315,Pb
OSR550,C3,0.03204536,1.728550299,Pb
OSR700,C3,0.0506387,1.713675627,Pb
OSR700,C3,0.0420682,1.720532027,Pb
OSR700,C3,0.04706304,1.716536155,Pb
SWP550,C3,2.4038502,-0.168893573,Pb
SWP550,C3,2.3856755,-0.154353813,Pb
SWP550,C3,2.8607898,-0.534445253,Pb
WSP550,C3,0.0221385,1.751234787,Pb
WSP550,C3,0.0431679,1.748430867,Pb
WSP550,C3,0.0499344,1.747528667,Pb
MSP550,C4,0.0581548,6.64966216,Pb
MSP550,C4,0.17963615,6.55247708,Pb
MSP550,C4,0.1930858,6.54171736,Pb
OSR550,C4,0.16110306,6.567303552,Pb
OSR550,C4,0.1009153,6.61545376,Pb
OSR550,C4,0.0973165,6.6183328,Pb
OSR700,C4,0.07979768,6.632347856,Pb
OSR700,C4,0.07580574,6.635541408,Pb
OSR700,C4,0.0619783,6.64660336,Pb
SWP550,C4,2.0904305,5.0238416,Pb
SWP550,C4,7.0337725,1.069168,Pb
SWP550,C4,17.226102,-7.0846956,Pb
WSP550,C4,0.08296065,6.62981748,Pb
WSP550,C4,0.06857892,6.641322864,Pb
WSP550,C4,0.04734512,6.658309904,Pb
MSP550,C5,0.06739985,7.86181052,Pb
MSP550,C5,0.8580136,7.22931952,Pb
MSP550,C5,0.8071258,7.27002976,Pb
OSR550,C5,0.1406257,7.80322984,Pb
OSR550,C5,0.1721555,7.778006,Pb
OSR550,C5,0.1469771,7.79814872,Pb
OSR700,C5,0.083125,7.8492304,Pb
OSR700,C5,0.103165,7.8331984,Pb
OSR700,C5,0.0743862,7.85622144,Pb
SWP550,C5,3.961963,4.74616,Pb
SWP550,C5,9.704018,0.152516,Pb
SWP550,C5,8.7683915,0.9010172,Pb
WSP550,C5,0.1548426,7.79185632,Pb
WSP550,C5,0.0857943,7.84709496,Pb
WSP550,C5,0.1305473,7.81129256,Pb
WSP550,C5,0.1548426,7.86181052,Pb
WSP550,C5,0.0857943,7.22931952,Pb
WSP550,C5,0.1305473,7.27002976,Pb
MSP550,C6,0.1861481,28.21479459,Pb
MSP550,C6,2.3463037,26.48667011,Pb
MSP550,C6,2.279515,26.54010107,Pb
OSR550,C6,0.0966571,28.28638739,Pb
OSR550,C6,0.3651173,28.07161923,Pb
OSR550,C6,0.3289801,28.10052899,Pb
OSR700,C6,0.1320348,28.25808523,Pb
OSR700,C6,0.1095264,28.27609195,Pb
OSR700,C6,0.1611513,28.23479203,Pb
SWP550,C6,23.572233,9.505926667,Pb
SWP550,C6,22.573283,10.30508667,Pb
SWP550,C6,36.420505,-0.772690933,Pb
WSP550,C6,0.5252709,27.94349635,Pb
WSP550,C6,0.1409311,28.25096819,Pb
WSP550,C6,0.1580387,28.23728211,Pb
MSP550,C7,9.6444896,35.63522965,Pb
MSP550,C7,10.2824156,35.12488885,Pb
MSP550,C7,8.777738,36.32863093,Pb
OSR550,C7,0.3070552,43.10517717,Pb
OSR550,C7,0.3182708,43.09620469,Pb
OSR550,C7,0.3662826,43.05779525,Pb
OSR700,C7,0.191138,43.19791093,Pb
OSR700,C7,0.1932872,43.19619157,Pb
OSR700,C7,0.2012394,43.18982981,Pb
SWP550,C7,58.6839,-3.596298667,Pb
SWP550,C7,59.18379,-3.996210667,Pb
SWP550,C7,56.5229,-1.867498667,Pb
WSP550,C7,0.9000716,42.63076405,Pb
WSP550,C7,0.3700352,43.05479317,Pb
WSP550,C7,0.7677912,42.73658837,Pb
MSP550,C8,29.74596,31.784768,Pb
MSP550,C8,27.91097,33.25276,Pb
MSP550,C8,23.97569,36.400984,Pb
OSR550,C8,15.02111,43.564736,Pb
OSR550,C8,12.01872,45.96656,Pb
OSR550,C8,11.02123,46.764552,Pb
OSR700,C8,0.9530178,54.81912176,Pb
OSR700,C8,0.980452,54.7971744,Pb
OSR700,C8,1.2386254,54.59063568,Pb
SWP550,C8,69.20102,0.22072,Pb
SWP550,C8,67.01687,1.96804,Pb
SWP550,C8,61.03595,6.752776,Pb
WSP550,C8,19.45967,40.0138,Pb
WSP550,C8,14.39296,44.067168,Pb
WSP550,C8,16.73065,42.197016,Pb
MSP550,C9,83.94138,12.858768,Pb
MSP550,C9,85.495962,11.6151024,Pb
MSP550,C9,84.734484,12.2242848,Pb
OSR550,C9,62.10942,30.324336,Pb
OSR550,C9,64.886232,28.1028864,Pb
OSR550,C9,58.866261,32.9188632,Pb
OSR700,C9,37.022949,50.3935128,Pb
OSR700,C9,29.303457,56.5691064,Pb
OSR700,C9,22.706409,61.8467448,Pb
SWP550,C9,105.254528,-4.1917504,Pb
SWP550,C9,94.767044,4.1982368,Pb
SWP550,C9,94.688712,4.2609024,Pb
WSP550,C9,70.405644,23.6873568,Pb
WSP550,C9,76.006107,19.2069864,Pb
WSP550,C9,73.30449,21.36828,Pb
