"term","estimate","std.error","statistic","p.value","model","AIC","Biochar","Metal"
"a",8.00380779804573,0.720011079583602,11.1162286595291,2.94477674098558e-10,"MSP550.Cd",76.5278794249252,"MSP550","Cd"
"b",1.42877969422704,0.364275036983435,3.92225529934407,0.000782261623964246,"MSP550.Cd",76.5278794249252,"MSP550","Cd"
"c",2.56649991717692,0.598254451241552,4.28998047879241,0.000324782491043836,"MSP550.Cd",76.5278794249252,"MSP550","Cd"
"a",41.1823647767958,8.03961303498797,5.1224312162255,4.49145102527837e-05,"MSP550.Pb",157.149941657897,"MSP550","Pb"
"b",0.661751171687193,0.201075694411126,3.29105501102561,0.00348177418658557,"MSP550.Pb",157.149941657897,"MSP550","Pb"
"c",1.39058933686231,1.23607586141567,1.12500323019792,0.273282147915501,"MSP550.Pb",157.149941657897,"MSP550","Pb"
"a",3.29754577106195,0.307220182201583,10.7334933122924,5.53119863093247e-10,"MSP550.Zn",56.4637825548935,"MSP550","Zn"
"b",0.924730176393391,0.484950643683611,1.90685420967644,0.0703137517127479,"MSP550.Zn",56.4637825548935,"MSP550","Zn"
"c",0.10770679266849,0.0604856577707052,1.78069970036195,0.0894343727651497,"MSP550.Zn",56.4637825548935,"MSP550","Zn"
"a",19.2470629072731,1.33508188279355,14.4163913504692,2.30698563580154e-12,"OSR550.Cd",119.09723821607,"OSR550","Cd"
"b",3.03526517970882,0.865951449652069,3.50512165656442,0.00210674212161959,"OSR550.Cd",119.09723821607,"OSR550","Cd"
"c",0.713974639696943,0.0616508241828585,11.5809423338651,1.39855741201929e-10,"OSR550.Cd",119.09723821607,"OSR550","Cd"
"a",46.3377092335465,4.09094244014414,11.3269032531081,2.09531767042856e-10,"OSR550.Pb",167.402496849245,"OSR550","Pb"
"b",2.70724822672418,0.666764934884298,4.06027384627532,0.000562555202500924,"OSR550.Pb",167.402496849245,"OSR550","Pb"
"c",0.219547433771034,0.02866849551918,7.65814284269472,1.64665021621337e-07,"OSR550.Pb",167.402496849245,"OSR550","Pb"
"a",8.58148613139669,0.295803528162978,29.0107632748335,1.98480716883852e-18,"OSR550.Zn",58.2959311885831,"OSR550","Zn"
"b",1.63285283840271,0.227486406562136,7.17780399751802,4.47645618634868e-07,"OSR550.Zn",58.2959311885831,"OSR550","Zn"
"c",0.0684590424249824,0.00882949607347301,7.75344842506449,1.35526385595325e-07,"OSR550.Zn",58.2959311885831,"OSR550","Zn"
"a",20.5042401241234,0.539057819339109,38.0371815202715,7.44275168733707e-21,"OSR700.Cd",79.5897287393965,"OSR700","Cd"
"b",6.42956909304054,0.616383068551846,10.4311254170988,9.20510894256197e-10,"OSR700.Cd",79.5897287393965,"OSR700","Cd"
"c",0.335094841935394,0.0056165343086607,59.6622086717565,6.36240555546867e-25,"OSR700.Cd",79.5897287393965,"OSR700","Cd"
"a",55.5964824184765,1.46098364669705,38.0541442364311,5.7256995156694e-23,"OSR700.Pb",150.232076340857,"OSR700","Pb"
"b",3.19259464540411,0.31721064773849,10.064588525528,4.33408069759674e-10,"OSR700.Pb",150.232076340857,"OSR700","Pb"
"c",0.137142176442069,0.00538454821414756,25.4695790598989,6.97054284088405e-19,"OSR700.Pb",150.232076340857,"OSR700","Pb"
"a",10.7458266469284,0.422941130285607,25.4073814946111,2.98650156058722e-17,"OSR700.Zn",74.8307755674766,"OSR700","Zn"
"b",4.00521182680923,0.573963098204698,6.97816957107025,6.84532469734613e-07,"OSR700.Zn",74.8307755674766,"OSR700","Zn"
"c",0.0454364005420624,0.00243060248004577,18.6934724682774,1.44177873884384e-14,"OSR700.Zn",74.8307755674766,"OSR700","Zn"
"a",18.3108058780832,1.13822042891175,16.0872230131997,2.77016693215738e-13,"WSP550.Cd",111.444844989215,"WSP550","Cd"
"b",6.29796189782661,1.81189584345914,3.47589621145276,0.00225700758863521,"WSP550.Cd",111.444844989215,"WSP550","Cd"
"c",1.53538696120761,0.0593481657247622,25.8708410353951,2.06624706472725e-17,"WSP550.Cd",111.444844989215,"WSP550","Cd"
"a",42.4196127157948,2.78913750879663,15.2088638806828,8.03084781372476e-14,"WSP550.Pb",174.706809067255,"WSP550","Pb"
"b",2.09846296059953,0.541967832651271,3.87193267602984,0.000727796863377387,"WSP550.Pb",174.706809067255,"WSP550","Pb"
"c",0.188234979050119,0.0283676009247621,6.63556215237816,7.29727034357662e-07,"WSP550.Pb",174.706809067255,"WSP550","Pb"
"a",6.18913813650655,0.625188072122836,9.8996420636933,2.31102872893991e-09,"WSP550.Zn",94.7199004930788,"WSP550","Zn"
"b",3.70463007545556,1.29189347340688,2.86759717555195,0.00921581519445912,"WSP550.Zn",94.7199004930788,"WSP550","Zn"
"c",0.0344488989257519,0.00443309032058732,7.77085428775742,1.30808047299705e-07,"WSP550.Zn",94.7199004930788,"WSP550","Zn"
