"Biochar1","Biochar2","diff","z","p_value","Metal"
"MSP550","OSR550",-11.2432551092274,-7.41219791017329,1.24122934153093e-13,"Cd"
"MSP550","OSR700",-12.5004323260777,-13.8979570043774,0,"Cd"
"MSP550","WSP550",-10.3069980800375,-7.652760794901,1.97619698383278e-14,"Cd"
"OSR550","OSR700",-1.25717721685028,-0.87316038999393,0.382575661360753,"Cd"
"OSR550","WSP550",0.93625702918996,0.533656167392279,0.59357944047998,"Cd"
"OSR700","WSP550",2.19343424604024,1.74162783240346,0.0815735879273718,"Cd"
"MSP550","OSR550",-5.15534445675065,-0.571508060978993,0.567655297680693,"Pb"
"MSP550","OSR700",-14.4141176416807,-1.76399706750264,0.0777324729156668,"Pb"
"MSP550","WSP550",-1.23724793899898,-0.14539299194465,0.884400597490318,"Pb"
"OSR550","OSR700",-9.25877318493006,-2.13139643700652,0.0330564961646511,"Pb"
"OSR550","WSP550",3.91809651775166,0.791331242595859,0.428750721492496,"Pb"
"OSR700","WSP550",13.1768697026817,4.18497649829739,2.85195606208877e-05,"Pb"
"MSP550","OSR550",-5.28394036033474,-12.3896973405835,0,"Zn"
"MSP550","OSR700",-7.44828087586646,-14.2483731385043,0,"Zn"
"MSP550","WSP550",-2.8915923654446,-4.15103904739129,3.30969288471206e-05,"Zn"
"OSR550","OSR700",-2.16434051553172,-4.19349043491839,2.74694664832431e-05,"Zn"
"OSR550","WSP550",2.39234799489014,3.45897156079625,0.000542242155430195,"Zn"
"OSR700","WSP550",4.55668851042186,6.03686193247458,1.57140056522564e-09,"Zn"
